Kabupaten,id,Penduduk Miskin,Time,Tahun,IPM,Pengangguran
Balangan,1,6.17,1,2013,64.03,1.74
Banjar,2,2.84,1,2013,65.36,7.531
Banjar Baru,3,4.5,1,2013,77.1,2.535
Banjarmasin,4,4.21,1,2013,74.59,15.114
Barito Kuala,5,5.12,1,2013,62.12,5.03
Hulu Sungai Selatan,6,6.67,1,2013,64.59,4.625
Hulu Sungai Tengah,7,5.57,1,2013,64.63,2.163
Hulu Sungai Utara,8,6.92,1,2013,60.77,3.071
Kota Baru,9,4.73,1,2013,65.41,5.937
Tabalong,10,6.15,1,2013,68.08,2.598
Tanah Bumbu,11,5.2,1,2013,66.51,9.939
Tanah Laut ,12,4.33,1,2013,66.11,4.589
Tapin,13,3.41,1,2013,66.48,4.665
Balangan,1,6.29,2,2014,64.44,0.883
Banjar,2,2.87,2,2014,65.71,9.984
Banjar Baru,3,4.35,2,2014,77.3,5.299
Banjarmasin,4,4.27,2,2014,74.94,18.78
Barito Kuala,5,5.19,2,2014,62.56,3.432
Hulu Sungai Selatan,6,6.77,2,2014,65.25,2.794
Hulu Sungai Tengah,7,5.65,2,2014,65.37,5.205
Hulu Sungai Utara,8,7,2,2014,61.32,3.966
Kota Baru,9,4.76,2,2014,65.76,5.579
Tabalong,10,6.21,2,2014,68.36,5.028
Tanah Bumbu,11,5.21,2,2014,66.94,6.383
Tanah Laut ,12,4.38,2,2014,66.5,4.775
Tapin,13,3.63,2,2014,66.99,1.659
Balangan,1,5.87,3,2015,65.34,2.801
Banjar,2,3.26,3,2015,66.39,9.651
Banjar Baru,3,4.9,3,2015,77.56,6.249
Banjarmasin,4,4.44,3,2015,75.41,27.197
Barito Kuala,5,5.37,3,2015,63.53,3.165
Hulu Sungai Selatan,6,6.45,3,2015,66.31,3.255
Hulu Sungai Tengah,7,5.81,3,2015,66.56,4.132
Hulu Sungai Utara,8,7.07,3,2015,62.49,3.551
Kota Baru,9,4.62,3,2015,66.61,8.937
Tabalong,10,6.59,3,2015,69.35,3.985
Tanah Bumbu,11,5.55,3,2015,67.58,12.827
Tanah Laut ,12,4.58,3,2015,66.99,7.139
Tapin,13,3.88,3,2015,67.67,4.859
Balangan,1,5.67,4,2016,66.25,1.241
Banjar,2,3.1,4,2016,66.87,9.012
Banjar Baru,3,4.62,4,2016,77.96,6.043
Banjarmasin,4,4.22,4,2016,75.94,27.456
Barito Kuala,5,5.22,4,2016,64.33,6.843
Hulu Sungai Selatan,6,6.29,4,2016,67.52,2.243
Hulu Sungai Tengah,7,6.18,4,2016,67.07,6.043
Hulu Sungai Utara,8,6.76,4,2016,63.38,5.012
Kota Baru,9,4.56,4,2016,67.1,6.854
Tabalong,10,6.35,4,2016,70.07,4.984
Tanah Bumbu,11,5.27,4,2016,68.28,10.532
Tanah Laut ,12,4.65,4,2016,67.44,5.843
Tapin,13,3.7,4,2016,68.05,4.521
Balangan,1,5.68,5,2017,67.25,1.345
Banjar,2,2.96,5,2017,67.77,9.212
Banjar Baru,3,4.68,5,2017,78.32,6.085
Banjarmasin,4,4.19,5,2017,76.46,29.646
Barito Kuala,5,5.13,5,2017,64.93,6.745
Hulu Sungai Selatan,6,5.8,5,2017,67.8,2.443
Hulu Sungai Tengah,7,6.09,5,2017,67.78,5.963
Hulu Sungai Utara,8,6.65,5,2017,64.21,4.855
Kota Baru,9,4.38,5,2017,67.79,6.74
Tabalong,10,6.09,5,2017,70.76,5.123
Tanah Bumbu,11,4.99,5,2017,69.12,10.566
Tanah Laut ,12,4.6,5,2017,68,5.932
Tapin,13,3.77,5,2017,68.7,4.301
Balangan,1,5.59,6,2018,67.88,1.598
Banjar,2,2.7,6,2018,68.32,8.812
Banjar Baru,3,4.19,6,2018,78.83,6.039
Banjarmasin,4,4.18,6,2018,76.83,26.942
Barito Kuala,5,4.56,6,2018,65.91,5.108
Hulu Sungai Selatan,6,5.21,6,2018,68.41,2.911
Hulu Sungai Tengah,7,6.01,6,2018,68.32,5.112
Hulu Sungai Utara,8,6.38,6,2018,65.06,4.446
Kota Baru,9,4.52,6,2018,68.32,7.76
Tabalong,10,5.95,6,2018,71.14,4.124
Tanah Bumbu,11,4.88,6,2018,70.05,10.654
Tanah Laut ,12,4.4,6,2018,68.49,5.373
Tapin,13,3.7,6,2018,69.53,3.931
Balangan,1,5.55,7,2019,68.39,1.517
Banjar,2,2.72,7,2019,68.94,8.953
Banjar Baru,3,4.3,7,2019,79.22,5.992
Banjarmasin,4,4.2,7,2019,77.16,25.812
Barito Kuala,5,4.63,7,2019,66.24,4.078
Hulu Sungai Selatan,6,5.33,7,2019,68.8,3.032
Hulu Sungai Tengah,7,5.93,7,2019,68.8,3.94
Hulu Sungai Utara,8,6.5,7,2019,65.49,3.917
Kota Baru,9,4.49,7,2019,68.95,7.723
Tabalong,10,6.01,7,2019,71.78,4.143
Tanah Bumbu,11,4.85,7,2019,70.5,10.749
Tanah Laut ,12,4.51,7,2019,69.04,5.827
Tapin,13,3.41,7,2019,70.13,3.586
Balangan,1,5.32,8,2020,68.82,1.789
Banjar,2,2.55,8,2020,69.18,12.317
Banjar Baru,3,4.01,8,2020,79.1,7.383
Banjarmasin,4,4.39,8,2020,77.1,27.595
Barito Kuala,5,4.51,8,2020,66.22,5.046
Hulu Sungai Selatan,6,5.17,8,2020,68.85,2.903
Hulu Sungai Tengah,7,5.64,8,2020,68.84,5.622
Hulu Sungai Utara,8,6.14,8,2020,65.59,5.451
Kota Baru,9,4.22,8,2020,68.86,7.81
Tabalong,10,5.72,8,2020,72.19,3.991
Tanah Bumbu,11,4.6,8,2020,70.71,13.491
Tanah Laut ,12,4.26,8,2020,69.38,6.49
Tapin,13,3.06,8,2020,70.11,3.76
Balangan,1,6.07,9,2021,69.11,1.768
Banjar,2,3.04,9,2021,69.89,12.568
Banjar Baru,3,4.4,9,2021,79.26,7.708
Banjarmasin,4,4.89,9,2021,77.57,28.92
Barito Kuala,5,5.11,9,2021,66.64,5.684
Hulu Sungai Selatan,6,4.84,9,2021,69.21,3.03
Hulu Sungai Tengah,7,6.18,9,2021,69.05,5.4
Hulu Sungai Utara,8,6.83,9,2021,66.12,5.999
Kota Baru,9,4.86,9,2021,69.13,9.288
Tabalong,10,6.27,9,2021,72.6,4.666
Tanah Bumbu,11,4.82,9,2021,71,13.353
Tanah Laut ,12,4.57,9,2021,69.87,6.506
Tapin,13,3.6,9,2021,70.31,5.078
